,attraction_name,category,rating,reviews,categories,address,city
89,Old Harbor Light,Historical landmark,4.6,30,"Historical landmark, Tourist attraction","Old Harbor Light, 264 E Broad St, Savannah, GA 31401",Savannah
90,Love Lock Bridge,Tourist attraction,4.3,29,Tourist attraction,"Love Lock Bridge, 204 E Bay St, Savannah, GA 31401",Savannah
91,Historic Steps,Tourist attraction,4.9,20,Tourist attraction,"Historic Steps, 207b E River St, Savannah, GA 31401",Savannah
92,Old City Exchange Bell,Historical landmark,4.1,14,"Historical landmark, Tourist attraction","Old City Exchange Bell, 100-116 E Bay St, Savannah, GA 31401",Savannah
93,Oglethorpe's bench,Historical landmark,4.8,9,"Historical landmark, Tourist attraction","Oglethorpe's bench, Savannah, GA 31401",Savannah
94,Historic Steps,Tourist attraction,4,8,Tourist attraction,"Historic Steps, 302 Williamson St, Savannah, GA 31401",Savannah
95,River Street Ghosts,Tourist attraction,3,2,Tourist attraction,"River Street Ghosts, 4 W Bryan St, Savannah, GA 31401",Savannah
96,Old Town Trolley,Tourist attraction,3,2,Tourist attraction,"Old Town Trolley, 214 W Boundary St, Savannah, GA 31401",Savannah
97,Savannah History Walk,Tour operator,5,1,Tour operator,"Savannah History Walk, Reynolds Square, Savannah, GA 31401",Savannah
98,The Dallas World Aquarium,Aquarium,4.4,24732,"Aquarium, Restaurant, Tourist attraction, Zoo","The Dallas World Aquarium, 1801 N Griffin St, Dallas, TX 75202",Dallas
99,The Dallas Arboretum and Botanical Garden,Botanical garden,4.7,22915,"Botanical garden, Arboretum, Garden, Tourist attraction","The Dallas Arboretum and Botanical Garden, 8525 Garland Rd, Dallas, TX 75218",Dallas
100,Dallas Zoo,Zoo,4.5,20895,"Zoo, Non-profit organization, Tourist attraction, Wildlife park","Dallas Zoo, 650 S R.L. Thornton Fwy, Dallas, TX 75203",Dallas
101,Perot Museum of Nature and Science,Science museum,4.7,17723,"Science museum, Children's museum, Museum, Tourist attraction","Perot Museum of Nature and Science, 2201 N Field St, Dallas, TX 75201",Dallas
102,Klyde Warren Park,Park,4.7,16308,"Park, Tourist attraction","Klyde Warren Park, 2012 Woodall Rodgers Fwy, Dallas, TX 75201",Dallas
103,Reunion Tower,Observation deck,4.6,13840,"Observation deck, Tourist attraction","Reunion Tower, 300 Reunion Blvd E, Dallas, TX 75207",Dallas
104,Dallas Museum of Art,Art museum,4.7,11130,"Art museum, Art gallery, Tourist attraction","Dallas Museum of Art, 1717 N Harwood St, Dallas, TX 75201",Dallas
105,The Sixth Floor Museum at Dealey Plaza,History museum,4.6,9363,"History museum, Museum, Tourist attraction","The Sixth Floor Museum at Dealey Plaza, 411 Elm St, Dallas, TX 75202",Dallas
106,White Rock Lake Park,Park,4.7,4441,"Park, Tourist attraction","White Rock Lake Park, 8300 E Lawther Dr, Dallas, TX 75218",Dallas
107,John F. Kennedy Memorial Plaza,Monument,4.5,4275,"Monument, Memorial park, Plaza, Tourist attraction","John F. Kennedy Memorial Plaza, 646 Main St, Dallas, TX 75202",Dallas
108,Giant Eyeball,Tourist attraction,4.3,4184,"Tourist attraction, Sculpture","Giant Eyeball, 1601 Main St, Dallas, TX 75201",Dallas
109,Pioneer Plaza,Park,4.6,4153,"Park, Tourist attraction","Pioneer Plaza, 1428 Young St, Dallas, TX 75202",Dallas
110,Bachman Lake Park,Park,4.5,4045,"Park, Campground, Tourist attraction","Bachman Lake Park, 3500 W Northwest Hwy, Dallas, TX 75220",Dallas
111,Museum of Illusions Dallas,Museum,4.4,2929,Museum,"Museum of Illusions Dallas, 701 Ross Ave, Dallas, TX 75202",Dallas
112,Frontiers of Flight Museum,Museum,4.7,2846,"Museum, Gift shop, Tourist attraction","Frontiers of Flight Museum, 6911 Lemmon Ave, Dallas, TX 75209",Dallas
113,AT&T Discovery District,Pedestrian zone,4.8,2601,"Pedestrian zone, Park","AT&T Discovery District, 308 S Akard St, Dallas, TX 75202",Dallas
114,Main Street Garden Park,Park,4.5,2203,"Park, Tourist attraction","Main Street Garden Park, 1902 Main St, Dallas, TX 75201",Dallas
115,Trammell Crow Park,Park,4.5,2154,"Park, Tourist attraction","Trammell Crow Park, 3700 Sylvan Ave, Dallas, TX 75207",Dallas
116,Dallas Holocaust and Human Rights Museum,Museum,4.6,2113,"Museum, History museum, Local history museum, Tourist attraction","Dallas Holocaust and Human Rights Museum, 300 N Houston St, Dallas, TX 75202",Dallas
117,Children's Aquarium Dallas at Fair Park,Aquarium,4.6,1864,"Aquarium, Tourist attraction","Children's Aquarium Dallas at Fair Park, 1462 1st Ave, Dallas, TX 75210",Dallas
118,Texas Discovery Gardens,Botanical garden,4.6,1693,"Botanical garden, Amusement park, Event venue, Fairground, Park, Tourist attraction, Wedding venue","Texas Discovery Gardens, 3601 Martin Luther King Jr Blvd, Dallas, TX 75210",Dallas
119,Lake Cliff Park,Park,4.5,1630,"Park, Tourist attraction","Lake Cliff Park, 300 E Colorado Blvd, Dallas, TX 75201",Dallas
120,Nasher Sculpture Center,Museum,4.5,1562,"Museum, Art center, Art museum, Sculpture museum, Tourist attraction","Nasher Sculpture Center, 2001 Flora St, Dallas, TX 75201",Dallas
121,Old City Park,Open air museum,4.6,1141,"Open air museum, Heritage museum, Tourist attraction","Old City Park, 1515 S Harwood St, Dallas, TX 75215",Dallas
122,"Immersive Gamebox- Deep Ellum, Dallas",Tourist attraction,5,1109,Tourist attraction,"Immersive Gamebox- Deep Ellum, Dallas, 2525 Elm St Suite 110, Dallas, TX 75226",Dallas
123,Civic Garden,Park,4.4,1091,"Park, Tourist attraction","Civic Garden, 1014 Main St, Dallas, TX 75202",Dallas
124,Thanks-Giving Square,Tourist attraction,4.6,1072,"Tourist attraction, Chapel, Garden, Historical landmark","Thanks-Giving Square, 1627 Pacific Ave, Dallas, TX 75201",Dallas
125,Samuell-Grand Park,Park,4.5,1038,"Park, Tourist attraction","Samuell-Grand Park, 6200 E Grand Ave, Dallas, TX 75223",Dallas
126,Dallas Arboretum,Botanical garden,4.7,960,"Botanical garden, Tourist attraction","R7GM+GW Dallas Arboretum, 8525 Garland Rd, Dallas, TX 75218",Dallas
