,attraction_name,category,rating,reviews,categories,address,city
6425,Chapelle Notre-Dame de Provence,Chapel,4.6,142,"Chapel, Tourist attraction","Chapelle Notre-Dame de Provence, 30 Bd Raoul Dufy, 04300 Forcalquier, France",Chalus
6426,Chateau des Bories,Castle,4.5,131,Castle,"Chateau des Bories, Les Bories, 24420 Antonne-et-Trigonant, France",Chalus
6427,Camping Grand Lake,Campground,3.9,131,Campground,"Camping Grand Lake, Le Puy, 87440 Milhaguet-Marval, France",Chalus
6428,Chaykhoran Palace,Historical landmark,4,87,Historical landmark,"Chaykhoran Palace, JCXC+974, Chalus, Mazandaran Province, Iran",Chalus
6429,Bam-e Chalus,Apartment complex,4.1,62,"Apartment complex, Tourist attraction","Mazandaran Province, Chalus, Noshahr Beltway, JCVF+RJQ Bam-e Chalus, Iran",Chalus
6430,Kheyrud Gorge,Tourist attraction,4.5,51,Tourist attraction,"Najjar Deh, mzndrn, njrdh, khnr rwdkhnh khyrwd,, JH45+495 Kheyrud Gorge, Iran",Chalus
6431,Chalus Rd,Tourist attraction,4.6,50,Tourist attraction,"Chalus Rd, 48R4+QW8 Kandovan, Alborz Province, Iran",Chalus
6432,The Upper Dam of Siah Bisheh,Tourist attraction,4.2,45,Tourist attraction,"Mazandaran Province, Chalus Rd, 58XC+CCR The Upper Dam of Siah Bisheh, Iran",Chalus
6433,tng dr,Tourist attraction,4.5,36,Tourist attraction,"tng dr, JCFX+X7Q, Chalus, Mazandaran Province, Iran",Chalus
6434,Hali Dareh Waterfall,Tourist attraction,4.5,34,Tourist attraction,"Hali Dareh Waterfall, G9Q4+GR7, zrkh, Mazandaran Province, Iran",Chalus
6435,Chalous,Tourist attraction,4.5,29,Tourist attraction,"Chalous, MC3C+WG6, Chalus, Mazandaran Province, Iran",Chalus
6436,La Ferme Du Bas Chalus,Lodging,4.3,27,Lodging,"La Ferme Du Bas Chalus, Le Bas Chalus, 04300 Forcalquier, France",Chalus
6437,abshr ab shrshr,Tourist attraction,3.8,22,Tourist attraction,"Sinava, chshmh,stn mzndrn,, J98P+RQ7 abshr ab shrshr, Iran",Chalus
6438,Siah Bisheh Lower Dam,Tourist attraction,4,21,Tourist attraction,"Mazandaran Province, Chalus Rd, 68F4+Q5M Siah Bisheh Lower Dam, Iran",Chalus
6439,Zavat Waterfall,Tourist attraction,4.4,21,Tourist attraction,"Zavat Waterfall, J9P7+P2H, Tejen Kola-ye Olya, Mazandaran Province, Iran",Chalus
