,attraction_name,link,category,categories,rating,reviews,address,city
0,Shri Sai Baba Temple Shirdi,https://www.google.com/maps/place/Shri+Sai+Baba+Temple+Shirdi/data=!4m7!3m6!1s0x3bdc5b95bf70c2f7:0x23dbc9b2db45374!8m2!3d19.7665961!4d74.4755952!16s%2Fg%2F11g01_82b2!19sChIJ98Jwv5Vb3DsRdFO0LZu8PQI?authuser=0&hl=en&rclk=1,Hindu temple,"Hindu temple, Place of worship",4.7,69636,"QF8G+J6Q Shri Sai Baba Temple Shirdi, Mauli Nagar, Shirdi, Maharashtra 423109, India",Shirdi
1,"Prasadalaya Shirdi , Saibaba Mandir","https://www.google.com/maps/place/Prasadalaya+Shirdi+,+Saibaba+Mandir/data=!4m7!3m6!1s0x3bdc5bbe016e51e3:0xd804beacdeb4e8c8!8m2!3d19.7699115!4d74.4718791!16s%2Fg%2F1tj7chwm!19sChIJ41FuAb5b3DsRyOi03qy-BNg?authuser=0&hl=en&rclk=1",Hindu temple,"Hindu temple, Tourist attraction",4.7,63563,"Prasadalaya Shirdi , Saibaba Mandir, New Prasadalaya Rd, Shirdi, Maharashtra 423109, India",Shirdi
2,"Sai Baba's Art Gallery , Hemant art (Sai Art Online)","https://www.google.com/maps/place/Sai+Baba%27s+Art+Gallery+,+Hemant+art+%28Sai+Art+Online%29/data=!4m7!3m6!1s0x3bdc5b95bdcc98f1:0xb2f018d8ee11c0d5!8m2!3d19.7667674!4d74.4776564!16s%2Fg%2F11c5s28b01!19sChIJ8ZjMvZVb3DsR1cAR7tgY8LI?authuser=0&hl=en&rclk=1",Art gallery,"Art gallery, Art museum, Paintings store, Tourist attraction, Tourist information center",4.9,14889,"1st floor, Sai Baba's Art Gallery , Hemant art (Sai Art Online), Sai Complex, Mauli Nagar, Shirdi, Maharashtra 423109, India",Shirdi
3,Wet N Joy Water Park,https://www.google.com/maps/place/Wet+N+Joy+Water+Park/data=!4m7!3m6!1s0x3bdc5b95942e3f71:0xcb94475a615b8f78!8m2!3d19.774914!4d74.478156!16s%2Fg%2F11d_bknzf5!19sChIJcT8ulJVb3DsReI9bYVpHlMs?authuser=0&hl=en&rclk=1,Water park,"Water park, Tourist attraction",4.3,11526,"Wet N Joy Water Park, Water Park Shirdi, Shirdi, Maharashtra 423109, India",Shirdi
4,Sai Teerth Devotional Theme Park,https://www.google.com/maps/place/Sai+Teerth+Devotional+Theme+Park/data=!4m7!3m6!1s0x3bdc5b98387ed5e3:0x1e126730a7837691!8m2!3d19.7741606!4d74.4769201!16s%2Fg%2F11f57wjxhv!19sChIJ49V-OJhb3DsRkXaDpzBnEh4?authuser=0&hl=en&rclk=1,Theme park,"Theme park, Tourist attraction",4.8,11428,"QFFG+MM4 Sai Teerth Devotional Theme Park, opp. to Wet N Joy Waterpark, Shirdi, Maharashtra 423109, India",Shirdi
5,Sai Heritage Village,https://www.google.com/maps/place/Sai+Heritage+Village/data=!4m7!3m6!1s0x3bdc5be799babbcf:0x274b0c554d1dcb6b!8m2!3d19.7483452!4d74.478615!16s%2Fg%2F11b6g93rzg!19sChIJz7u6medb3DsRa8sdTVUMSyc?authuser=0&hl=en&rclk=1,Heritage museum,"Heritage museum, Art museum, History museum, Tourist attraction",4.3,7203,"Sai Heritage Village, AHMEDNAGAR-MANMAD HIGHWAY SHIRDI, TALUKA, Rahata, Maharashtra 423107, India",Shirdi
6,Dwarkamai Shirdi,https://www.google.com/maps/place/Dwarkamai+Shirdi/data=!4m7!3m6!1s0x3bdc5b95a1bdc247:0x7497fb1646dd2d62!8m2!3d19.7660542!4d74.477415!16s%2Fg%2F11rvz3hcm!19sChIJR8K9oZVb3DsRYi3dRhb7l3Q?authuser=0&hl=en&rclk=1,Place of worship,"Place of worship, Religious destination, Tourist attraction",4.7,2059,"QF8G+CXF Dwarkamai Shirdi, Pimpalwadi Road, Rahata, Dist. Ahmednagar, near Vishal textile, opp. Dwarkamai Temple, Shirdi, Maharashtra 423109, India",Shirdi
7,Shree Saibaba Chavadi,https://www.google.com/maps/place/Shree+Saibaba+Chavadi/data=!4m7!3m6!1s0x3bdc5b95a6ce8d21:0xe0d772012a9a9a77!8m2!3d19.7660671!4d74.4776776!16s%2Fg%2F1hf390hdk!19sChIJIY3OppVb3DsRd5qaKgFy1-A?authuser=0&hl=en&rclk=1,Hindu temple,"Hindu temple, Tourist attraction",4.8,372,"Shree Saibaba Chavadi, Shirdi - Puntamba Rd, Mauli Nagar, Shirdi, Maharashtra 423109, India",Shirdi
8,Chhatrapati Sambhaji Park,https://www.google.com/maps/place/Chhatrapati+Sambhaji+Park/data=!4m7!3m6!1s0x3bdc5bbf7be615f7:0x90beaac2d79768b!8m2!3d19.7629339!4d74.4721624!16s%2Fg%2F1hm1pwpyp!19sChIJ9xXme79b3DsRi3Z5LazqCwk?authuser=0&hl=en&rclk=1,Garden,Garden,4.3,362,"Chhatrapati Sambhaji Park, Sai Nagar, Shirdi, Maharashtra 423109, India",Shirdi
9,Sai Travel Shirdi,https://www.google.com/maps/place/Sai+Travel+Shirdi/data=!4m7!3m6!1s0x3bdc5b0edd33cc67:0x426724d033226e02!8m2!3d19.7628299!4d74.476079!16s%2Fg%2F11hyn7wtgs!19sChIJZ8wz3Q5b3DsRAm4iM9AkZ0I?authuser=0&hl=en&rclk=1,Travel agency,"Travel agency, Tourist attraction",4.1,303,"Sai Travel Shirdi, Opp St Satnd, Shirdi, Maharashtra 423109, India",Shirdi
10,Shri Khandoba Mandir,https://www.google.com/maps/place/Shri+Khandoba+Mandir/data=!4m7!3m6!1s0x3bdc5b955f4147cd:0x3282abef784971e1!8m2!3d19.7639441!4d74.4760473!16s%2Fg%2F1hjhhmcfg!19sChIJzUdBX5Vb3DsR4XFJeO-rgjI?authuser=0&hl=en&rclk=1,Hindu temple,"Hindu temple, Tourist attraction",4.7,829,"QF7G+HCF Shri Khandoba Mandir, Sai Nagar, Shirdi, Maharashtra 423109, India",Shirdi
11,Old Shirdi (Baba's Heritage Village) shirdi,https://www.google.com/maps/place/Old+Shirdi+%28Baba%27s+Heritage+Village%29+shirdi/data=!4m7!3m6!1s0x3bdc5b5273456d49:0x56b9229b699b1b8f!8m2!3d19.7482395!4d74.4786968!16s%2Fg%2F11f6mgbx5y!19sChIJSW1Fc1Jb3DsRjxubaZsiuVY?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.4,436,"PFXH+7FW Old Shirdi (Baba's Heritage Village) shirdi, Shirdi, Maharashtra 423107, India",Shirdi
12,Lendi Garden / Baug,https://www.google.com/maps/place/Lendi+Garden+%2F+Baug/data=!4m7!3m6!1s0x3bdc5bbe29baa365:0x2575affae1516211!8m2!3d19.7661104!4d74.4758758!16s%2Fg%2F1hjh6hy8j!19sChIJZaO6Kb5b3DsREWJR4fqvdSU?authuser=0&hl=en&rclk=1,Park,Park,4.5,212,"QF8G+C9R Lendi Garden / Baug, MH SH 10, Mauli Nagar, Shirdi, Maharashtra 423109, India",Shirdi
13,Dixit Wada Museum,https://www.google.com/maps/place/Dixit+Wada+Museum/data=!4m7!3m6!1s0x3bdc5b9585537d4b:0xe9b62fb1d49b34af!8m2!3d19.7663922!4d74.476712!16s%2Fg%2F11clyfw7gc!19sChIJS31ThZVb3DsRrzSb1LEvtuk?authuser=0&hl=en&rclk=1,Museum,"Museum, Tourist attraction",4.4,185,"QF8G+HM4 Dixit Wada Museum, Mauli Nagar, Shirdi, Maharashtra 423109, India",Shirdi
14,Sai Shraddha Tourism,https://www.google.com/maps/place/Sai+Shraddha+Tourism/data=!4m7!3m6!1s0x3bdc5b94504ac04d:0x619caf424aaca8e!8m2!3d19.7670022!4d74.4783203!16s%2Fg%2F1pp2tz6w1!19sChIJTcBKUJRb3DsRjsqqJPTKGQY?authuser=0&hl=en&rclk=1,Car rental agency,"Car rental agency, Airport shuttle service, Bus tour agency, Car leasing service, Hotel, Taxi service, Tour agency, Tour operator, Tourist attraction, Travel agency",4.4,127,"Sai Shraddha Tourism, Pimpalwadi Road,Shirdi Near Andhra Bank, Tal:-Rahata, Dist:, Shirdi, Maharashtra 423109, India",Shirdi
15,"""I LOVE SHIRDI""",https://www.google.com/maps/place/%22I+LOVE+SHIRDI%22/data=!4m7!3m6!1s0x3bdc5b343c871e59:0xa2572330cccfd461!8m2!3d19.7663312!4d74.4753601!16s%2Fg%2F11rmq9lzsp!19sChIJWR6HPDRb3DsRYdTPzDAjV6I?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.7,55,"QF8G+G4 ""I LOVE SHIRDI"", Sai Nagar, Shirdi, Maharashtra 423109, India",Shirdi
16,SHIRDI CITY SIGN (shirddii),https://www.google.com/maps/place/SHIRDI+CITY+SIGN+%28%E0%A4%B6%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%A1%E0%A5%80%29/data=!4m7!3m6!1s0x3bdc5b9de52d45c3:0xc38a950adf7cb5f9!8m2!3d19.7696407!4d74.4743785!16s%2Fg%2F11j2rv0k03!19sChIJw0Ut5Z1b3DsR-bV83wqVisM?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.6,52,"QF9F+VQ2 SHIRDI CITY SIGN (shirddii), Shirdi, Maharashtra 423109, India",Shirdi
17,I Love Sai,https://www.google.com/maps/place/I+Love+Sai/data=!4m7!3m6!1s0x3bdc5b7fce36b6a5:0x53ef3b1b3bebbf8b!8m2!3d19.7671469!4d74.476837!16s%2Fg%2F11t5wh6ykn!19sChIJpbY2zn9b3DsRi7_rOxs771M?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.7,15,"I Love Sai, Shop 1 Pimpalwadi Road Tal, opp. Jeevan Hotel, Rahata, Maharashtra 423109, India",Shirdi
18,Satsang Place,https://www.google.com/maps/place/Satsang+Place/data=!4m7!3m6!1s0x3bdc5b959632a751:0x7c13c79522c22b9a!8m2!3d19.7666201!4d74.4775198!16s%2Fg%2F11h0cy6bk!19sChIJUacylpVb3DsRmivCIpXHE3w?authuser=0&hl=en&rclk=1,Hindu temple,Hindu temple,4.1,14,"QF8H+J2R Satsang Place, Mauli Nagar, Shirdi, Maharashtra 423109, India",Shirdi
19,shirddii relve stteshn,https://www.google.com/maps/place/%E0%A4%B6%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%A1%E0%A5%80+%E0%A4%B0%E0%A5%87%E0%A4%B2%E0%A5%8D%E0%A4%B5%E0%A5%87+%E0%A4%B8%E0%A5%8D%E0%A4%9F%E0%A5%87%E0%A4%B6%E0%A4%A8/data=!4m7!3m6!1s0x3bdc5bcd1c0a7725:0xe77a6f9a98addc72!8m2!3d19.7809197!4d74.4797466!16s%2Fg%2F11tsd1_6gr!19sChIJJXcKHM1b3DsRctytmJpveuc?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.5,13,"QFJH+6PX shirddii relve stteshn, Platform Bridge, Shirdi, Maharashtra 423109, India",Shirdi
20,OnlineShirdi,https://www.google.com/maps/place/OnlineShirdi/data=!4m7!3m6!1s0x3bdc5b938126c16b:0x2361a0d0de0acfa7!8m2!3d19.7664612!4d74.482069!16s%2Fg%2F1q62dzlxs!19sChIJa8EmgZNb3DsRp88K3tCgYSM?authuser=0&hl=en&rclk=1,Tourist attraction,"Tourist attraction, E-commerce service",3.1,9,"QF8J+HRP OnlineShirdi, Palakhi Road, Pimpalwadi Rd, Shirdi, Maharashtra 423109, India",Shirdi
21,Shri Saibaba Sansthan Rose Garden,https://www.google.com/maps/place/Shri+Saibaba+Sansthan+Rose+Garden/data=!4m7!3m6!1s0x3bdc5b37a42b7217:0xd3fb100c299326de!8m2!3d19.7566447!4d74.4792752!16s%2Fg%2F11fp38h83h!19sChIJF3IrpDdb3DsR3iaTKQwQ-9M?authuser=0&hl=en&rclk=1,Garden,Garden,4.5,6,"QF4H+MP2 Shri Saibaba Sansthan Rose Garden, Shirdi, Maharashtra 423109, India",Shirdi
22,Giant Screen -Sab kaa Malik ek,https://www.google.com/maps/place/Giant+Screen+-Sab+kaa+Malik+ek/data=!4m7!3m6!1s0x3bdc5b4369955ad5:0xa06c72171dc3edb!8m2!3d19.7742705!4d74.4766543!16s%2Fg%2F11kqrwk14k!19sChIJ1VqVaUNb3DsR2z7ccSHHBgo?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,5,5,"QFFG+MM4 Giant Screen -Sab kaa Malik ek, Shirdi, Maharashtra 423109, India",Shirdi
23,Park,https://www.google.com/maps/place/Park/data=!4m7!3m6!1s0x3bdc5b299a148d21:0xf2501723b3048ca7!8m2!3d19.7698114!4d74.4713482!16s%2Fg%2F11qs7z8qtp!19sChIJIY0Umilb3DsRp4wEsyMXUPI?authuser=0&hl=en&rclk=1,Park,Park,4.6,5,"Park, New Prasadalaya Shirdi, MH SH 10, Shirdi, Maharashtra 423109, India",Shirdi
24,mhaatmaa phule udyaan shirddii,https://www.google.com/maps/place/%E0%A4%AE%E0%A4%B9%E0%A4%BE%E0%A4%A4%E0%A5%8D%E0%A4%AE%E0%A4%BE+%E0%A4%AB%E0%A5%81%E0%A4%B2%E0%A5%87+%E0%A4%89%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%A8+%E0%A4%B6%E0%A4%BF%E0%A4%B0%E0%A5%8D%E0%A4%A1%E0%A5%80/data=!4m7!3m6!1s0x3bdc5b584b55d1a3:0x408464e91d77dfb!8m2!3d19.7570474!4d74.4732727!16s%2Fg%2F11l_f_rtjr!19sChIJo9FVS1hb3DsR-33XkU5GCAQ?authuser=0&hl=en&rclk=1,Garden,Garden,3.4,5,"QF4F+R86 mhaatmaa phule udyaan shirddii, Near Apple Sai Residency, Panmala Rd, opp. 500 Rooms (Bhakti Niwas, Shirdi, Maharashtra 423109, India",Shirdi
25,Shirdi cab rental,https://www.google.com/maps/place/Shirdi+cab+rental/data=!4m7!3m6!1s0x3bdc5b560b10e69f:0x854dff1cfebea723!8m2!3d19.7702428!4d74.4888873!16s%2Fg%2F11tk3ggx2p!19sChIJn-YQC1Zb3DsRI6e-_hz_TYU?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.8,4,"Shirdi cab rental, Pimpalwadi Rd, Mauli Nagar, Shirdi, Maharashtra 423109, India",Shirdi
26,paahunne udyaan,https://www.google.com/maps/place/%E0%A4%AA%E0%A4%BE%E0%A4%B9%E0%A5%81%E0%A4%A3%E0%A5%87+%E0%A4%89%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%A8/data=!4m7!3m6!1s0x3bdc5b7c6d96de49:0x5a73667da8d55ba7!8m2!3d19.7567344!4d74.4735564!16s%2Fg%2F11r2hhndxx!19sChIJSd6WbXxb3DsRp1vVqH1mc1o?authuser=0&hl=en&rclk=1,Garden,Garden,4.8,4,"QF4F+MCV paahunne udyaan, Shirdi, Maharashtra 423109, India",Shirdi
27,5D theatre (Lanka Dahan),https://www.google.com/maps/place/5D+theatre+%28Lanka+Dahan%29/data=!4m7!3m6!1s0x3bdc5b5e7c58248b:0x5171bdcac46865f0!8m2!3d19.7741375!4d74.4767031!16s%2Fg%2F11sv_h65jh!19sChIJiyRYfF5b3DsR8GVoxMq9cVE?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.7,3,"QFFG+MM4 5D theatre (Lanka Dahan), Shirdi, Maharashtra 423109, India",Shirdi
28,Shiridi old tempul,https://www.google.com/maps/place/Shiridi+old+tempul/data=!4m7!3m6!1s0x3bdc5b845c4d624d:0x6337fa735cc092!8m2!3d19.7667215!4d74.475563!16s%2Fg%2F11v0zfb3rk!19sChIJTWJNXIRb3DsRksBcc_o3YwA?authuser=0&hl=en&rclk=1,Park,Park,5,3,"QF8G+M6P Shiridi old tempul, Mauli Nagar, Shirdi, Maharashtra 423109, India",Shirdi
29,The Art Tree,https://www.google.com/maps/place/The+Art+Tree/data=!4m7!3m6!1s0x3bdc5bce107d9565:0xd1a14d8c79fb0cca!8m2!3d19.7646457!4d74.4756565!16s%2Fg%2F11txcjm54l!19sChIJZZV9EM5b3DsRygz7eYxNodE?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.5,2,"Shop No 38, The Art Tree, Nagarpachyat Complx, Sai Nagar, Shirdi, Maharashtra 423109, India",Shirdi
30,Akole,https://www.google.com/maps/place/Akole/data=!4m7!3m6!1s0x3bdc5bd400ab1e09:0x1a0788c9451805ac!8m2!3d19.7645364!4d74.4762124!16s%2Fg%2F11t9ml5b0y!19sChIJCR6rANRb3DsRrAUYRcmIBxo?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4,2,"QF7G+RF8 Akole, Sai Nagar, Shirdi, Maharashtra 423109, India",Shirdi
31,Sai Ji Tours and Travels,https://www.google.com/maps/place/Sai+Ji+Tours+and+Travels/data=!4m7!3m6!1s0x3bdc5bbb19542aa1:0x664eddbe9236593a!8m2!3d19.7544527!4d74.4767405!16s%2Fg%2F11k9l61phj!19sChIJoSpUGbtb3DsROlk2kr7dTmY?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,1,1,"Sai Ji Tours and Travels, Sai Ashram Road, Shirdi, Maharashtra 423109, India",Shirdi
32,Rajhans Travels,https://www.google.com/maps/place/Rajhans+Travels/data=!4m7!3m6!1s0x3bdc5b9a8663697d:0x7e3086f3e71acc81!8m2!3d19.7593448!4d74.4766298!16s%2Fg%2F11rhwd4dpt!19sChIJfWljhppb3DsRgcwa5_OGMH4?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,5,1,"Rajhans Travels, Shop1 Nagar Manmad Road Near Union Bank Shirdi, Tal, Rahata, Maharashtra 423109, India",Shirdi
33,Vrindavan Agro tourism shirdi,https://www.google.com/maps/place/Vrindavan+Agro+tourism+shirdi/data=!4m7!3m6!1s0x3bdc5d2ea6e58fab:0x158c04be6c731def!8m2!3d19.7703351!4d74.5386912!16s%2Fg%2F11tdgkm5g5!19sChIJq4_lpi5d3DsR7x1zbL4EjBU?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,5,1,"QGCQ+4FP Vrindavan Agro tourism shirdi, Shingave, Nathu Patalachiwadi, Maharashtra 423109, India",Shirdi
34,Saikhushi LLP Shirdi Sai Tourism,https://www.google.com/maps/place/Saikhushi+LLP+Shirdi+Sai+Tourism/data=!4m7!3m6!1s0x3bdc5be5aa6e374b:0x3c8b0820e774163b!8m2!3d19.7650816!4d74.4748495!16s%2Fg%2F11rnntjdxk!19sChIJSzduquVb3DsROxZ05yAIizw?authuser=0&hl=en&rclk=1,Tourist information center,Tourist information center,5,1,"Saikhushi LLP Shirdi Sai Tourism, Kankuri Rd, Sai Nagar, Shirdi, Maharashtra 423109, India",Shirdi
35,Jhula game,https://www.google.com/maps/place/Jhula+game/data=!4m7!3m6!1s0x3bdc5b8e351d17d9:0xd05f604891f816d1!8m2!3d19.7664695!4d74.4750348!16s%2Fg%2F11s4b1b05c!19sChIJ2RcdNY5b3DsR0Rb4kUhgX9A?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,,,"Gate no - 01, Jhula game, Nagar, Manmad Rd, opp. to Shri Saibaba Samadhi Mandir, Sai Nagar, Shirdi, Maharashtra 423109, India",Shirdi
36,Jigar more,https://www.google.com/maps/place/Jigar+more/data=!4m7!3m6!1s0x3bdc5b35d9b3e42b:0xcf0b04b33794b9da!8m2!3d19.7645364!4d74.4762124!16s%2Fg%2F11rcvw6htc!19sChIJK-Sz2TVb3DsR2rmUN7MEC88?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,,,"QF7G+RF8 Jigar more, Sai Nagar, Shirdi, Maharashtra 423109, India",Shirdi
37,Vaidya basti,https://www.google.com/maps/place/Vaidya+basti/data=!4m7!3m6!1s0x3bdc5bb921b977cf:0x7a277e3d3791d688!8m2!3d19.7635695!4d74.4923717!16s%2Fg%2F11kk73gzsr!19sChIJz3e5Iblb3DsRiNaRNz1-J3o?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,,,"QF7R+CWH Vaidya basti, Dwaraka Nagar, Vaidya Vasti, Shirdi, Maharashtra 423109, India",Shirdi
38,Sai shradha game zone,https://www.google.com/maps/place/Sai+shradha+game+zone/data=!4m7!3m6!1s0x3bdc5b0c780bc5ad:0xc1c51a5db893a93c!8m2!3d19.7695486!4d74.4781832!16s%2Fg%2F11s49n23qq!19sChIJrcULeAxb3DsRPKmTuF0axcE?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,,,"QF9H+R77 Sai shradha game zone, Shirdi, Maharashtra 423109, India",Shirdi
39,Sairajaram luxuries bus pick up point,https://www.google.com/maps/place/Sairajaram+luxuries+bus+pick+up+point/data=!4m7!3m6!1s0x3bdc5b007f4d2aab:0x2c7c67e54513f8bf!8m2!3d19.7601816!4d74.478623!16s%2Fg%2F11y2txphml!19sChIJqypNfwBb3DsRv_gTReVnfCw?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,,,"Sairajaram luxuries bus pick up point, Ring road, next to city market, Shirdi, Maharashtra 423109, India",Shirdi
40,Sai Ravi Raj Enterprises,https://www.google.com/maps/place/Sai+Ravi+Raj+Enterprises/data=!4m7!3m6!1s0x3bdc5980a572b5db:0xa1a39ef74a6da60e!8m2!3d19.6902766!4d74.4846489!16s%2Fg%2F11plrcvx5v!19sChIJ27VypYBZ3DsRDqZtSveeo6E?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,,,"Sai Ravi Raj Enterprises, Hotel Sai Chhaya, Nagar, Manmad Rd, Shirdi, Maharashtra 423109, India",Shirdi
41,Vir Transport,https://www.google.com/maps/place/Vir+Transport/data=!4m7!3m6!1s0x3bdc5dc6a9cb756b:0x14800aaa0f5d544a!8m2!3d19.7906507!4d74.5038009!16s%2Fg%2F11sxwt5fj7!19sChIJa3XLqcZd3DsRSlRdD6oKgBQ?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,,,"Vir Transport, Shop1 Puntamba Road Near Sai Mandir Rui, Tal, Rahata, Maharashtra 423109, India",Shirdi
42,"Sainath cabs services,shirdi","https://www.google.com/maps/place/Sainath+cabs+services,shirdi/data=!4m7!3m6!1s0x3bdc5b40b1ebb27b:0xdf605ee63da69e5!8m2!3d19.7660161!4d74.477861!16s%2Fg%2F11fqxx7h5c!19sChIJe7LrsUBb3DsR5WnaY-4F9g0?authuser=0&hl=en&rclk=1",Tourist attraction,Tourist attraction,,,"Sainath cabs services,shirdi, dwarkamai, Opposit, Shirdi, Maharashtra 423109, India",Shirdi
43,Mehrangarh Fort,https://www.google.com/maps/place/Mehrangarh+Fort/data=!4m7!3m6!1s0x39418db7f5a4e8d5:0x91c3eb1d93338906!8m2!3d26.2978267!4d73.0180132!16zL20vMDVjX2xt!19sChIJ1eik9beNQTkRBokzkx3rw5E?authuser=0&hl=en&rclk=1,Historical landmark,"Historical landmark, Museum, Tourist attraction",4.6,64043,"Mehrangarh Fort, Fort Rd, Sodagaran Mohalla, Jodhpur, Rajasthan 342001, India",Jodhpur
44,Jaswant Thada,https://www.google.com/maps/place/Jaswant+Thada/data=!4m7!3m6!1s0x39418dbbe80cf185:0xef978326c4f61fbd!8m2!3d26.3040998!4d73.0253613!16zL20vMDVjX2w4!19sChIJhfEM6LuNQTkRvR_2xCaDl-8?authuser=0&hl=en&rclk=1,Historical place museum,"Historical place museum, Historical place, Tourist attraction",4.4,13038,"Jaswant Thada, Lawaran, Jodhpur, Rajasthan 342001, India",Jodhpur
45,Rao Jodha Desert Rock Park,https://www.google.com/maps/place/Rao+Jodha+Desert+Rock+Park/data=!4m7!3m6!1s0x39418dc0a861b789:0x9bac8f162bb4f726!8m2!3d26.3048252!4d73.0167296!16s%2Fg%2F11c53nf3kr!19sChIJibdhqMCNQTkRJve0KxaPrJs?authuser=0&hl=en&rclk=1,Park,"Park, Tourist attraction",4.2,2595,"8237+5QG Rao Jodha Desert Rock Park, Mehrangarh, Fort Rd, Kabir Nagar, Jodhpur, Rajasthan 342001, India",Jodhpur
46,Bishnoi Village Safari Jodhpur,https://www.google.com/maps/place/Bishnoi+Village+Safari+Jodhpur/data=!4m7!3m6!1s0x39418bcead5546f1:0x36368111446ae668!8m2!3d26.2389469!4d73.0243094!16s%2Fg%2F11fps5vp23!19sChIJ8UZVrc6LQTkRaOZqRBGBNjY?authuser=0&hl=en&rclk=1,Tourist attraction,"Tourist attraction, Adventure sports, Local history museum, Museum, Sightseeing tour agency, Tour agency, Tour operator",4.5,184,"Bishnoi Village Safari Jodhpur, Jodhpur Gosala Road , Kumharon Ki Dhani, Nandwan Village, Jodhpur, Rajasthan 342804, India",Jodhpur
47,Bishnoi Village Safari Tour Jodhpur,https://www.google.com/maps/place/Bishnoi+Village+Safari+Tour+Jodhpur/data=!4m7!3m6!1s0x39418dbdd592e0f1:0xd3c2b7a2c2ed0fb9!8m2!3d26.2768365!4d73.0107782!16s%2Fg%2F11vd38p9lv!19sChIJ8eCS1b2NQTkRuQ_twqK3wtM?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,5,4,"Bishnoi Village Safari Tour Jodhpur, Kumharon ka Bass, Gaushala ke Pas, Salawas, Rajasthan 342804, India",Jodhpur
48,Mandore Garden,https://www.google.com/maps/place/Mandore+Garden/data=!4m7!3m6!1s0x394192615676351f:0x8db453287646f2a8!8m2!3d26.3525047!4d73.0353164!16s%2Fg%2F1tfd0sq5!19sChIJHzV2VmGSQTkRqPJGdihTtI0?authuser=0&hl=en&rclk=1,Tourist attraction,"Tourist attraction, Museum",4.3,27513,"923P+244 Mandore Garden, Mandore, Jodhpur, Rajasthan 342007, India",Jodhpur
49,Ghanta Ghar Jodhpur,https://www.google.com/maps/place/Ghanta+Ghar+Jodhpur/data=!4m7!3m6!1s0x39418db13c3f4865:0x9671a06ede429ab!8m2!3d26.295076!4d73.0240292!16s%2Fm%2F0k7xrjm!19sChIJZUg_PLGNQTkRqynk7QYaZwk?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.3,27357,"Ghanta Ghar Jodhpur, ghanta ghar, Rawaton Ka Bass, Jodhpur, Rajasthan 342001, India",Jodhpur
50,Toorji Ka Jhalra Bavdi,https://www.google.com/maps/place/Toorji+Ka+Jhalra+Bavdi/data=!4m7!3m6!1s0x39418db0cc87386d:0x1a832f26ce92f02c!8m2!3d26.297056!4d73.0229519!16s%2Fg%2F11cltxb8xz!19sChIJbTiHzLCNQTkRLPCSziYvgxo?authuser=0&hl=en&rclk=1,Historical landmark,"Historical landmark, Tourist attraction",4.3,6643,"Toorji Ka Jhalra Bavdi, Makrana Mohalla, Sutharo Ka Bass Rd, Gulab Sagar, Jodhpur, Rajasthan 342001, India",Jodhpur
51,Ummed Garden,https://www.google.com/maps/place/Ummed+Garden/data=!4m7!3m6!1s0x39418dacdcfb14e5:0x733cb6db9ee87eb8!8m2!3d26.291726!4d73.0317564!16s%2Fg%2F1pyqkyhtm!19sChIJ5RT73KyNQTkRuH7ontu2PHM?authuser=0&hl=en&rclk=1,Park,"Park, Garden, Tourist attraction",4.2,1328,"Ummed Garden, Jodhpur, Rajasthan 342001, India",Jodhpur
52,Masuria Hills,https://www.google.com/maps/place/Masuria+Hills/data=!4m7!3m6!1s0x39418e82ab25c1b5:0x98693bd1f4ab1edb!8m2!3d26.2723034!4d72.9930843!16s%2Fg%2F11dywxdkgp!19sChIJtcElq4KOQTkR2x6r9NE7aZg?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.5,1224,"Masuria Hills, Masuria Colony, Baldev Nagar, Jodhpur, Rajasthan 342003, India",Jodhpur
