,attraction_name,link,category,categories,rating,reviews,address,city
3482,High Court Chauraha,https://www.google.com/maps/place/High+Court+Chauraha/data=!4m7!3m6!1s0x3981af57c6552a5f:0xbf6fa7c180c33563!8m2!3d23.1674619!4d79.9460641!16s%2Fg%2F11t7tddmsp!19sChIJXypVxlevgTkRYzXDgMGnb78?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,3.8,6,"High Court Chauraha, 1970a, Dr Radha Krishnan Chowk, South Civil Lines, Jabalpur, Madhya Pradesh 482002, India",Jabalpur
3483,Langhiya's Park,https://www.google.com/maps/place/Langhiya%27s+Park/data=!4m7!3m6!1s0x3981ae1bb7bb6c53:0x4f135dd1593817cb!8m2!3d23.1701728!4d79.9270795!16s%2Fg%2F11bycfk8m3!19sChIJU2y7txuugTkRyxc4WdFdE08?authuser=0&hl=en&rclk=1,Park,Park,3.2,6,"5WCG+3R8 Langhiya's Park, Wright Town, Jabalpur, Madhya Pradesh 482002, India",Jabalpur
3484,Adhartal Lake,https://www.google.com/maps/place/Adhartal+Lake/data=!4m7!3m6!1s0x3981afd06be9edbb:0x6b4c798a5e753330!8m2!3d23.2092603!4d79.951693!16s%2Fg%2F11srymy8l0!19sChIJu-3pa9CvgTkRMDN1Xop5TGs?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.6,5,"6X62+2QM Adhartal Lake, Jawaharlal Nehru Krishi Vishwa Vidyalaya Campus, Jabalpur, GCF Jabalpur, Madhya Pradesh 482004, India",Jabalpur
3485,Pisanhari ki Madiya chowk,https://www.google.com/maps/place/Pisanhari+ki+Madiya+chowk/data=!4m7!3m6!1s0x3981b15f49052125:0xd7c0ea45120e47ee!8m2!3d23.1521036!4d79.8852225!16s%2Fg%2F11sjhf8yzq!19sChIJJSEFSV-xgTkR7kcOEkXqwNc?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,5,5,"5V2P+R3X Pisanhari ki Madiya chowk, Medical College Colony, Jabalpur, Madhya Pradesh 482003, India",Jabalpur
3486,Khamaria pond,https://www.google.com/maps/place/Khamaria+pond/data=!4m7!3m6!1s0x3981a9279a522f0d:0x342374046e797eaa!8m2!3d23.2214757!4d80.0266774!16s%2Fg%2F11ry5b23st!19sChIJDS9SmiepgTkRqn55bgR0IzQ?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.4,5,"62CG+HMV Khamaria pond, Unnamed Road, Khamaria, Jabalpur, Bilpura, Madhya Pradesh 482011, India",Jabalpur
3487,Swan Island,https://www.google.com/maps/place/Swan+Island/data=!4m7!3m6!1s0x3981b1f0dd522ef5:0x239d33ec871724c9!8m2!3d23.1649959!4d79.9068502!16s%2Fg%2F11jsnbxzj5!19sChIJ9S5S3fCxgTkRySQXh-wznSM?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4.5,4,"5W74+XPX Swan Island, Sanjeevani Nagar, Jabalpur, Madhya Pradesh 482003, India",Jabalpur
3488,Thakur Tal,https://www.google.com/maps/place/Thakur+Tal/data=!4m7!3m6!1s0x3981b3defd9e6bf9:0x9dd2ade827a9095d!8m2!3d23.1377924!4d79.9056492!16s%2Fg%2F11h48x51dg!19sChIJ-Wue_d6zgTkRXQmpJ-it0p0?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4,4,"4WQ4+476 Thakur Tal, Naya Gaon, Shakti Nagar, Jabalpur, Madhya Pradesh 482001, India",Jabalpur
3489,Aaykar Chauraha,https://www.google.com/maps/place/Aaykar+Chauraha/data=!4m7!3m6!1s0x3981af96bb1fc297:0xad92ce896f542365!8m2!3d23.1624819!4d79.9408052!16s%2Fg%2F11sckf_nch!19sChIJl8Ifu5avgTkRZSNUb4nOkq0?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,3.3,4,"Aaykar Chauraha, 223, Naghrath Chowk, Napier Town, Jabalpur, Madhya Pradesh 482001, India",Jabalpur
3490,Maa Badi khermai Road,https://www.google.com/maps/place/Maa+Badi+khermai+Road/data=!4m7!3m6!1s0x3981af83f4f9c53d:0xde52a91b28264604!8m2!3d23.1817514!4d79.9394564!16s%2Fg%2F11t6h9q7mf!19sChIJPcX59IOvgTkRBEYmKBupUt4?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,5,3,"Maa Badi khermai Road, 19, Hanumantal Ward, Jabalpur, Madhya Pradesh 482002, India",Jabalpur
3491,Suraj taal,https://www.google.com/maps/place/Suraj+taal/data=!4m7!3m6!1s0x3981b188bdbd7b41:0xc515f6cf2f48cb59!8m2!3d23.1563315!4d79.8885927!16s%2Fg%2F11pkfl_kqm!19sChIJQXu9vYixgTkRWctIL8_2FcU?authuser=0&hl=en&rclk=1,Tourist attraction,Tourist attraction,4,3,"5V4Q+7MW Suraj taal, Medical College Colony, Jabalpur, Madhya Pradesh 482003, India",Jabalpur
